bbl,exemptions,registered_stabilized_apts,pluto_apts,estimated_gross_income,estimated_expenses
1010330009,421a (20 yr not cap,,268,8.05e+06,1.6882e+06
1021550089,421a (25 yr not cap,,0,,
2022670001,421a (25 yr not cap,,3,,
2022670075,421a (25 yr not cap,,3,,
2022670109,421a (25 yr not cap,,3,,
2022670110,421a (25 yr not cap,,3,,
2022750140,421a (25 yr not cap,,3,,
2022750141,421a (25 yr not cap,,3,,
2022750142,421a (25 yr not cap,,3,,
2022750143,421a (25 yr not cap,,3,,
2022830120,421a (25 yr not cap,,3,,
2027200137,421a (25 yr not cap,,3,,
2027200138,421a (25 yr not cap,,3,,
2027200139,421a (25 yr not cap,,3,,
2027200140,421a (25 yr not cap,,3,,
2027540135,421a (25 yr not cap,,3,,
1007400012,new mult dwellings - 421a,8,8,205920,
2022920129,421a (25 yr not cap,,3,,
2022920130,421a (25 yr not cap,,3,,
2022920131,421a (25 yr not cap,,3,,
2022920132,421a (25 yr not cap,,3,,
1011050029,421a (20 yr not cap,597,597,1.28e+07,4.27e+06
2023070031,421a (25 yr not cap,,3,,
1011170001,new mult dwellings - 421a,228,229,1.84552e+07,5.3866e+06
1011320035,421a (20 yr not cap,253,339,2.3e+07,2.3e+07
2023290159,421a (25 yr not cap,,3,,
2023290160,421a (25 yr not cap,,3,,
2023290161,421a (25 yr not cap,,3,,
1011520013,new mult dwellings - 421a,300,301,1.21795e+07,3.93696e+06
1011690016,421a (20 yr not cap,145,181,386830,50666
2023290164,421a (25 yr not cap,,4,,
2023740180,421a (25 yr not cap,,3,,
2023740181,421a (25 yr not cap,,3,,
2023740182,421a (25 yr not cap,,3,,
2023760037,421a (25 yr not cap,,3,,
1011710062,421a (20 yr not cap,503,503,2.4e+07,6.5e+06
2023990028,421a (25 yr not cap,,3,,
2023990029,421a (25 yr not cap,,3,,
2023990128,421a (25 yr not cap,,3,,
2023990129,421a (25 yr not cap,,3,,
2024010026,421a (25 yr not cap,,3,,
2024010027,421a (25 yr not cap,,3,,
2024010028,421a (25 yr not cap,,3,,
2024010030,421a (25 yr not cap,,3,,
1011710063,421a (20 yr not cap,1000,1000,2.73975e+07,1.15324e+07
2024230054,421a (25 yr not cap,,3,,
2024230055,421a (25 yr not cap,,3,,
2024230153,421a (25 yr not cap,,3,,
2024230154,421a (25 yr not cap,,3,,
2024260051,421a (25 yr not cap,,3,,
2024260151,421a (25 yr not cap,,3,,
2024260152,421a (25 yr not cap,,3,,
2027540136,421a (25 yr not cap,,3,,
2027540137,421a (25 yr not cap,,3,,
2027540138,421a (25 yr not cap,,3,,
2027540139,421a (25 yr not cap,,3,,
2027610578,421a (25 yr not cap,,3,,
2027650257,421a (25 yr not cap,,3,,
2027650302,421a (15 yr not cap),,3,,
2027650303,421a (15 yr not cap),,3,,
2027650304,421a (15 yr not cap),,3,,
2027650305,421a (15 yr not cap),,3,,
2027650350,421a (25 yr not cap,,3,,
2027650351,421a (25 yr not cap,,3,,
2027660015,421a (25 yr not cap,,3,,
2027660018,421a (25 yr not cap,,3,,
2027660118,421a (25 yr not cap,,3,,
2027820033,421a (25 yr not cap,,3,,
2027820036,421a (25 yr not cap,,3,,
2027820236,421a (25 yr not cap,,3,,
2027820237,421a (25 yr not cap,,3,,
2027860015,421a (25 yr not cap,,3,,
2027860016,421a (25 yr not cap,,3,,
2027900148,421a (25 yr not cap,,3,,
2027920055,421a (25 yr not cap,,3,,
2027920056,421a (25 yr not cap,,3,,
2027920057,421a (25 yr not cap,,3,,
